district_number,district_name,school_number,school_name,year,subgroup,english_avg,math_avg,reading_avg,science_avg,act_composite_avg,percent_21_orhigher,percent_met_crb_english,percent_met_crb_math,percent_met_crb_reading,percent_met_crb_science,percent_met_all4_crb,avg_composite_baseline_year,avg_composite_previous,percent_21_orhigher_baseline_year,percent_21_orhigher_previous
10,Anderson County Schools,85,Norwood Middle School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
10,Anderson County Schools,85,Norwood Middle School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
10,Anderson County Schools,85,Norwood Middle School,2017,English Learners,,,,,,,,,,,,,,,
10,Anderson County Schools,85,Norwood Middle School,2017,Students with Disabilities,,,,,,,,,,,,,,,
10,Anderson County Schools,105,Clinch River Community School,2017,All Students,11.2,15.2,13.4,13.8,*,,*,*,*,*,*,,,,
10,Anderson County Schools,105,Clinch River Community School,2017,Black/Hispanic/Native,,,,,*,,*,*,*,*,*,,,,
10,Anderson County Schools,105,Clinch River Community School,2017,Economically Disadvantaged,12,15.5,14,14.3,*,,*,*,*,*,*,,,,
10,Anderson County Schools,105,Clinch River Community School,2017,English Learners,,,,,*,,*,*,*,*,*,,,,
10,Anderson County Schools,105,Clinch River Community School,2017,Super Subgroup,11.2,15.2,13.4,13.8,*,,*,*,*,*,*,,,,
10,Anderson County Schools,105,Clinch River Community School,2017,Students with Disabilities,10,15.3,12.3,12.7,*,,*,*,*,*,*,,,,
11,Clinton City School District,0,,2017,All Students,,,,,,,,,,,,,,,
11,Clinton City School District,0,,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
11,Clinton City School District,0,,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
11,Clinton City School District,0,,2017,English Learners,,,,,,,,,,,,,,,
11,Clinton City School District,0,,2017,Students with Disabilities,,,,,,,,,,,,,,,
11,Clinton City School District,5,Clinton Elementary,2017,All Students,,,,,,,,,,,,,,,
11,Clinton City School District,5,Clinton Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
11,Clinton City School District,5,Clinton Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
11,Clinton City School District,5,Clinton Elementary,2017,English Learners,,,,,,,,,,,,,,,
11,Clinton City School District,5,Clinton Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
11,Clinton City School District,10,North Clinton Elementary,2017,All Students,,,,,,,,,,,,,,,
11,Clinton City School District,10,North Clinton Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
11,Clinton City School District,10,North Clinton Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
11,Clinton City School District,10,North Clinton Elementary,2017,English Learners,,,,,,,,,,,,,,,
11,Clinton City School District,10,North Clinton Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
11,Clinton City School District,15,South Clinton Elementary,2017,All Students,,,,,,,,,,,,,,,
11,Clinton City School District,15,South Clinton Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
11,Clinton City School District,15,South Clinton Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
11,Clinton City School District,15,South Clinton Elementary,2017,English Learners,,,,,,,,,,,,,,,
11,Clinton City School District,15,South Clinton Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,0,,2017,All Students,22.7,21.8,23.3,22.7,22.8,,75.3,48.6,60.1,47.3,34.8,,,,
12,Oak Ridge City Schools,0,,2017,Black/Hispanic/Native,18.9,19,20,20,19.7,,56.8,28.4,43.2,27,13.5,,,,
12,Oak Ridge City Schools,0,,2017,Economically Disadvantaged,19.3,18.8,19.7,19.7,19.6,,58.1,20.3,40.5,24.3,14.9,,,,
12,Oak Ridge City Schools,0,,2017,English Learners,17.4,19.4,17.6,18.9,*,,*,*,*,*,*,,,,
12,Oak Ridge City Schools,0,,2017,Super Subgroup,19.4,19.2,20.2,20.1,19.9,,60.2,27.1,43.6,27.8,15,,,,
12,Oak Ridge City Schools,0,,2017,Students with Disabilities,17.5,17.3,18.2,18.5,18,,41.9,16.1,32.3,12.9,6.5,,,,
12,Oak Ridge City Schools,15,Glenwood Elementary,2017,All Students,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,15,Glenwood Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,15,Glenwood Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,15,Glenwood Elementary,2017,English Learners,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,15,Glenwood Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,25,Jefferson Middle School,2017,All Students,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,25,Jefferson Middle School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,25,Jefferson Middle School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,25,Jefferson Middle School,2017,English Learners,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,25,Jefferson Middle School,2017,Students with Disabilities,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,30,Linden Elementary,2017,All Students,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,30,Linden Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,30,Linden Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,30,Linden Elementary,2017,English Learners,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,30,Linden Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,35,Oak Ridge High School,2017,All Students,22.7,21.8,23.3,22.7,22.8,,75.3,48.6,60.1,47.3,34.8,,,,
12,Oak Ridge City Schools,35,Oak Ridge High School,2017,Black/Hispanic/Native,18.9,19,20,20,19.7,,56.8,28.4,43.2,27,13.5,,,,
12,Oak Ridge City Schools,35,Oak Ridge High School,2017,Economically Disadvantaged,19.3,18.8,19.7,19.7,19.6,,58.1,20.3,40.5,24.3,14.9,,,,
12,Oak Ridge City Schools,35,Oak Ridge High School,2017,English Learners,17.4,19.4,17.6,18.9,*,,*,*,*,*,*,,,,
12,Oak Ridge City Schools,35,Oak Ridge High School,2017,Super Subgroup,19.4,19.2,20.2,20.1,19.9,,60.2,27.1,43.6,27.8,15,,,,
12,Oak Ridge City Schools,35,Oak Ridge High School,2017,Students with Disabilities,17.5,17.3,18.2,18.5,18,,41.9,16.1,32.3,12.9,6.5,,,,
12,Oak Ridge City Schools,40,Robertsville Middle School,2017,All Students,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,40,Robertsville Middle School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,40,Robertsville Middle School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,40,Robertsville Middle School,2017,English Learners,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,40,Robertsville Middle School,2017,Students with Disabilities,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,45,Willow Brook Elementary,2017,All Students,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,45,Willow Brook Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,45,Willow Brook Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,45,Willow Brook Elementary,2017,English Learners,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,45,Willow Brook Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,50,Woodland Elementary,2017,All Students,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,50,Woodland Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,50,Woodland Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,50,Woodland Elementary,2017,English Learners,,,,,,,,,,,,,,,
12,Oak Ridge City Schools,50,Woodland Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,0,,2017,All Students,18.4,18.7,18.9,19.7,19.1,,49.9,22.6,29.7,24.8,13,,,,
20,Bedford County Schools,0,,2017,Black/Hispanic/Native,15.5,17.6,16.8,18.4,17.2,,25,13.7,15.3,13.7,1.6,,,,
20,Bedford County Schools,0,,2017,Economically Disadvantaged,16.5,18,17.4,18.5,17.8,,34.6,17.3,20.5,17.3,7.7,,,,
20,Bedford County Schools,0,,2017,English Learners,12.3,15.4,14.6,15.5,14.5,,**,**,5,**,**,,,,
20,Bedford County Schools,0,,2017,Super Subgroup,16.3,17.9,17.3,18.5,17.6,,33.6,16.4,19.2,16.8,6.4,,,,
20,Bedford County Schools,0,,2017,Students with Disabilities,13.7,16.1,15,15.5,15.2,,17.9,7.7,7.7,7.7,7.7,,,,
20,Bedford County Schools,12,Cascade Elementary,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,12,Cascade Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,12,Cascade Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,12,Cascade Elementary,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,12,Cascade Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,13,Cascade High School,2017,All Students,19.7,19.4,20.8,21,20.4,,62.9,28.2,42.7,34.7,21,,,,
20,Bedford County Schools,13,Cascade High School,2017,Black/Hispanic/Native,15.6,17.6,19.1,18.6,17.9,,28.6,14.3,35.7,7.1,**,,,,
20,Bedford County Schools,13,Cascade High School,2017,Economically Disadvantaged,16.7,17.6,18.6,19.5,18.2,,44.8,17.2,24.1,24.1,10.3,,,,
20,Bedford County Schools,13,Cascade High School,2017,English Learners,11,14,13,15,*,,*,*,*,*,*,,,,
20,Bedford County Schools,13,Cascade High School,2017,Super Subgroup,16.6,17.9,18.6,19.4,18.3,,45.2,19,28.6,21.4,9.5,,,,
20,Bedford County Schools,13,Cascade High School,2017,Students with Disabilities,13,16.6,14.9,16.9,15.5,,20,10,10,10,10,,,,
20,Bedford County Schools,15,Eakin Elementary,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,15,Eakin Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,15,Eakin Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,15,Eakin Elementary,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,15,Eakin Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,17,Cascade Middle School,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,17,Cascade Middle School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,17,Cascade Middle School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,17,Cascade Middle School,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,17,Cascade Middle School,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,20,Shelbyville Central High School,2017,All Students,17.4,18.7,17.9,19.5,18.5,,40.2,24,22.8,22.4,11,,,,
20,Bedford County Schools,20,Shelbyville Central High School,2017,Black/Hispanic/Native,15.2,17.6,16.4,18.4,17.1,,22.7,14.4,13.4,14.4,**,,,,
20,Bedford County Schools,20,Shelbyville Central High School,2017,Economically Disadvantaged,16.1,18.1,16.9,18.3,17.5,,25.6,18.9,15.6,15.6,5.6,,,,
20,Bedford County Schools,20,Shelbyville Central High School,2017,English Learners,12.2,15.5,14.3,15.3,14.4,,**,**,5.6,**,**,,,,
20,Bedford County Schools,20,Shelbyville Central High School,2017,Super Subgroup,16,17.9,16.9,18.5,17.5,,26.5,17.4,15.5,16.1,5.2,,,,
20,Bedford County Schools,20,Shelbyville Central High School,2017,Students with Disabilities,15,16.4,15.3,16,15.8,,16.7,11.1,11.1,11.1,11.1,,,,
20,Bedford County Schools,25,Harris Middle School,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,25,Harris Middle School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,25,Harris Middle School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,25,Harris Middle School,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,25,Harris Middle School,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,33,Community Elementary School,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,33,Community Elementary School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,33,Community Elementary School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,33,Community Elementary School,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,33,Community Elementary School,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,35,Community High School,2017,All Students,19,17.9,19.1,19,18.9,,55.8,14.7,30.2,20.2,9.3,,,,
20,Bedford County Schools,35,Community High School,2017,Black/Hispanic/Native,17.7,17.5,17.7,18.3,17.9,,38.5,7.7,7.7,15.4,**,,,,
20,Bedford County Schools,35,Community High School,2017,Economically Disadvantaged,17.4,18.1,17.7,18.3,18.1,,48.6,13.5,29.7,16.2,10.8,,,,
20,Bedford County Schools,35,Community High School,2017,English Learners,16,16,21,20,*,,*,*,*,*,*,,,,
20,Bedford County Schools,35,Community High School,2017,Super Subgroup,17.1,17.6,17.6,17.8,17.7,,45.3,11.3,22.6,15.1,7.5,,,,
20,Bedford County Schools,35,Community High School,2017,Students with Disabilities,12.3,15.2,14.5,13.3,13.8,,18.2,**,**,**,**,,,,
20,Bedford County Schools,37,Community Middle School,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,37,Community Middle School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,37,Community Middle School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,37,Community Middle School,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,37,Community Middle School,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,39,Learning Way Elementary,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,39,Learning Way Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,39,Learning Way Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,39,Learning Way Elementary,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,39,Learning Way Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,40,East Side Elementary,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,40,East Side Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,40,East Side Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,40,East Side Elementary,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,40,East Side Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,53,Liberty Elementary,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,53,Liberty Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,53,Liberty Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,53,Liberty Elementary,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,53,Liberty Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,75,South Side Elementary,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,75,South Side Elementary,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,75,South Side Elementary,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,75,South Side Elementary,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,75,South Side Elementary,2017,Students with Disabilities,,,,,,,,,,,,,,,
20,Bedford County Schools,78,Thomas Magnet,2017,All Students,,,,,,,,,,,,,,,
20,Bedford County Schools,78,Thomas Magnet,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
20,Bedford County Schools,78,Thomas Magnet,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
20,Bedford County Schools,78,Thomas Magnet,2017,English Learners,,,,,,,,,,,,,,,
20,Bedford County Schools,78,Thomas Magnet,2017,Students with Disabilities,,,,,,,,,,,,,,,
30,Benton School System,0,,2017,All Students,19.2,19.2,19.6,20.1,19.6,,57.3,27.4,31.2,29.9,16.6,,,,
30,Benton School System,0,,2017,Black/Hispanic/Native,15.4,17.8,17.1,17.8,*,,*,*,*,*,*,,,,
30,Benton School System,0,,2017,Economically Disadvantaged,17.5,18.3,18.4,18.9,18.4,,43.6,20,20,16.4,9.1,,,,
30,Benton School System,0,,2017,English Learners,,,,,*,,*,*,*,*,*,,,,
30,Benton School System,0,,2017,Super Subgroup,17.4,17.9,18.3,18.5,18.1,,44.1,16.2,20.6,14.7,7.4,,,,
30,Benton School System,0,,2017,Students with Disabilities,15.5,15.2,16.7,15.7,15.9,,33.3,**,14.3,9.5,**,,,,
30,Benton School System,10,Big Sandy School,2017,All Students,19.6,19.1,20.9,19.3,19.9,,64,24,40,36,12,,,,
30,Benton School System,10,Big Sandy School,2017,Black/Hispanic/Native,13,18,13,17,*,,*,*,*,*,*,,,,
30,Benton School System,10,Big Sandy School,2017,Economically Disadvantaged,18.8,19.2,21.2,20.2,*,,*,*,*,*,*,,,,
30,Benton School System,10,Big Sandy School,2017,English Learners,,,,,*,,*,*,*,*,*,,,,
30,Benton School System,10,Big Sandy School,2017,Super Subgroup,18.1,17.6,19.5,17.3,18.3,,54.5,9.1,36.4,18.2,9.1,,,,
30,Benton School System,10,Big Sandy School,2017,Students with Disabilities,17.5,16.2,19.3,15.5,*,,*,*,*,*,*,,,,
30,Benton School System,15,Briarwood School,2017,All Students,,,,,,,,,,,,,,,
30,Benton School System,15,Briarwood School,2017,Black/Hispanic/Native,,,,,,,,,,,,,,,
30,Benton School System,15,Briarwood School,2017,Economically Disadvantaged,,,,,,,,,,,,,,,
