Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Missouri,Mehlville School District,Aug-22,Banned from Libraries,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Missouri,Nixa Public Schools,Jun-23,Banned from Libraries and Classrooms,Unclear
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Missouri,North Kansas City Schools,Sep-22,Banned from Libraries,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Missouri,Rockwood School District,Aug-22,Banned from Libraries and Classrooms,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The Hate U Give,"Thomas, Angie",Missouri,St. Clair R-XIII School District,Nov-22,Banned from Libraries and Classrooms,Administration
The Hill,"Bryan, Ali",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The History of Art,"Hodge, A.N.",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The History of the Blues,"Koopmans, Andy",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The History of Western Painting,"Forte, Virginia",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The History of Western Sculpture,"Osier, Peter",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The Human Body in Action,"Gallavotti, Barbara",Missouri,Kirkwood School District,Oct-22,Banned from Libraries and Classrooms,Legislative Action
The Hunting Accident: A True Story of Crime and Poetry,"Carlson, David L.",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The Infinite Moment of Us,"Myracle, Lauren",Missouri,Nixa Public Schools,Apr-23,Banned from Libraries,Unclear
The Invisible War: A Tale on Two Scales,"Wild, Ailsa",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The Last Halloween: Children,"Howard, Abby",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The League of Super Feminists,"Malle, Mirion",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The Life and Art of Paul Gauguin,"Roddam, George",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Low, Low Woods","Machado, Carmen Maria",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The Mythics #1: Heroes Reborn,"Ogaki, Philippe",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The Renaissance,"Fitzpatrick, Anne",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The Sacrifice of Darkness,"Gay, Roxane",Missouri,Rockwood School District,Aug-22,Banned from Libraries and Classrooms,Legislative Action
The Sacrifice of Darkness,"Gay, Roxane",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The Stranger: The Graphic Novel,"Camus, Albert",Missouri,Rockwood School District,Aug-22,Banned from Libraries and Classrooms,Legislative Action
The Sun and Her Flowers,"Kaur, Rupi",Missouri,Kirkwood School District,Oct-22,Banned from Libraries and Classrooms,Legislative Action
The Sun and Her Flowers,"Kaur, Rupi",Missouri,Lindbergh Schools,Nov-22,Banned from Libraries,Legislative Action
The Sun and Her Flowers,"Kaur, Rupi",Missouri,North Kansas City Schools,Sep-22,Banned from Libraries,Legislative Action
The Sun and Her Flowers,"Kaur, Rupi",Missouri,Raytown Quality Schools,Sep-22,Banned from Libraries,Legislative Action
The Sun and Her Flowers,"Kaur, Rupi",Missouri,Rockwood School District,Aug-22,Banned from Libraries and Classrooms,Legislative Action
The Sun and Her Flowers,"Kaur, Rupi",Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
The Sun and Her Flowers,"Kaur, Rupi",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead, Vol. 11: Fear the Hunters","Kirkman, Robert",Missouri,Lindbergh Schools,Sep-22,Banned from Libraries,Legislative Action
"The Walking Dead, Vol. 4: The Heart's Desire","Kirkman, Robert",Missouri,Lindbergh Schools,Sep-22,Banned from Libraries,Legislative Action
"The Walking Dead, Vol. 7: The Calm Before","Kirkman, Robert",Missouri,Lindbergh Schools,Sep-22,Banned from Libraries,Legislative Action
"The Walking Dead, Vol. 8: Made to Suffer","Kirkman, Robert",Missouri,Lindbergh Schools,Sep-22,Banned from Libraries,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 1","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 10","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 13","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 15","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 16","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 2","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 3","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 4","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 6","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 7","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 8","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"The Walking Dead: A Continuing Story of Survival Horror, Book 9","Kirkman, Robert",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
The Windup Girl,"Bacigalupi, Paolo",Missouri,Nixa Public Schools,Apr-23,Banned from Libraries,Unclear
This Book Is Gay,"Dawson, Juno",Missouri,North Kansas City Schools,Sep-22,Banned from Libraries,Legislative Action
Toulouse-Lautrec: At the Moulin Rouge,"Zeri, Federico",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Unpregnant,"Hendriks, Jenni",Missouri,Nixa Public Schools,Jun-23,Banned from Libraries and Classrooms,Unclear
Vermeer: The Astronomer,"Zeri, Federico",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Violet and Daisy: The Story of Vaudeville's Famous Conjoined Twins,"Miller, Sarah",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Watchmen,"Moore, Alan",Missouri,Independence School District,Oct-22,Banned from Libraries,Legislative Action
Watchmen,"Moore, Alan",Missouri,Lindbergh Schools,Nov-22,Banned from Libraries,Legislative Action
Watchmen,"Moore, Alan",Missouri,Mehlville School District,Aug-22,Banned from Libraries,Legislative Action
Watchmen,"Moore, Alan",Missouri,Rockwood School District,Aug-22,Banned from Libraries and Classrooms,Legislative Action
Watchmen,"Moore, Alan",Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
Watchmen,"Moore, Alan",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
What to Do When I'm Gone: A Mother's Wisdom to Her Daughter,"Hopkins, Suzy",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Why Comics?: From Underground to Everywhere,"Chute, Hillary L.",Missouri,Rockwood School District,Aug-22,Banned from Libraries and Classrooms,Legislative Action
Why Comics?: From Underground to Everywhere,"Chute, Hillary L.",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Woman World,"Dhaliwal, Aminder",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Women,"Leibovitz, Annie",Missouri,Kirkwood School District,Oct-22,Banned from Libraries and Classrooms,Legislative Action
Wraith,"Hill, Joe",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Writing and Illustrating the Graphic Novel: Everything You Need to Know to Create Great Graphic Works,"Chinn, Mike",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
X-Men: Age of X,"Carey, Mike",Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Zahra's Paradise,Amir,Missouri,North Kansas City Schools,Sep-22,Banned from Libraries,Legislative Action
Zahra's Paradise,Amir,Missouri,Rockwood School District,Aug-22,Banned from Libraries and Classrooms,Legislative Action
Zahra's Paradise,Amir,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
Crank,"Hopkins, Ellen",Nebraska,Plattsmouth Community Schools,Apr-23,Banned Pending Investigation,Formal Challenge
Looking for Alaska,"Green, John",Nebraska,Plattsmouth Community Schools,Apr-23,Banned Pending Investigation,Formal Challenge
Melissa (George),"Gino, Alex",Nebraska,Plattsmouth Community Schools,Apr-23,Banned Pending Investigation,Formal Challenge
"Red, White, and Royal Blue","McQuiston, Casey",Nebraska,Plattsmouth Community Schools,Apr-23,Banned Pending Investigation,Formal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",Nebraska,Plattsmouth Community Schools,Apr-23,Banned Pending Investigation,Formal Challenge
The Hate U Give,"Thomas, Angie",Nebraska,Plattsmouth Community Schools,Apr-23,Banned Pending Investigation,Formal Challenge
Body Talk: 37 Voices Explore Our Radical Anatomy,"Jensen, Kelly",New Hampshire,Wilton-Lyndeborough Cooperative School District,Dec-22,Banned from Libraries,Formal Challenge
Almost American Girl,"Ha, Robin",New Jersey,Watchung Borough School District,May-23,Banned from Classrooms,Informal Challenge
"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)","Moen, Erika",New Jersey,Roxbury Public Schools,Sep-22,Banned from Libraries,Formal Challenge
The Bluest Eye,"Morrison, Toni",New Jersey,Washington Township High School,Nov-22,Banned from Classrooms,Informal Challenge
All American Boys,"Reynolds, Jason",New York,Mahopac Central School District,Jan-23,Banned from Libraries,Formal Challenge
Gender Queer: A Memoir,"Kobabe, Maia",New York,Washingtonville Central School District,Sep-22,Banned Pending Investigation,Informal Challenge
Looking for Alaska,"Green, John",New York,Mahopac Central School District,Dec-22,Banned from Libraries,Formal Challenge
"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor","Saad, Layla F.",New York,Somers Central School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
"Stamped: Racism, Antiracism, and You","Reynolds, Jason",New York,Mahopac Central School District,Jan-23,Banned from Libraries,Formal Challenge
The Hate U Give,"Thomas, Angie",New York,Mahopac Central School District,Dec-22,Banned from Libraries,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",North Carolina,Cumberland County Schools,Apr-23,Banned from Libraries,Administration
A Court of Mist and Fury,"Maas, Sarah J.",North Carolina,Cumberland County Schools,Apr-23,Banned from Libraries,Administration
A Court of Mist and Fury,"Maas, Sarah J.",North Carolina,Pender County Schools,Feb-23,Banned from Libraries and Classrooms,Administration
A ​Court of Silver Flames,"Maas, Sarah J.",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
A Court of Thorns and Roses,"Maas, Sarah J.",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
All Boys Aren't Blue,"Johnson, George M.",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
All the Things We Do in the Dark,"Mitchell, Saundra",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Allegedly,"Jackson, Tiffany D.",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Are You My Mother?: A Comic Drama,"Bechdel, Alison",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Aristotle and Dante Discover the Secrets of the Universe,"Sáenz, Benjamin Alire",North Carolina,Cumberland County Schools,Apr-23,Banned from Libraries,Administration
Boy Girl Boy,"Koertge, Ron",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Brave New World,"Huxley, Aldous",North Carolina,Pender County Schools,Feb-23,Banned from Libraries,Administration
Cemetery Boys,"Thomas, Aiden",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Crank,"Hopkins, Ellen",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Damsel,"Arnold, Elana K.",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Darius the Great Deserves Better,"Khorram, Adib",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Deogratias: A Tale of Rwanda,"Stassen, Jean-Philippe",North Carolina,Cumberland County Schools,Apr-23,Banned from Libraries,Administration
Dreaming in Cuban,"García, Cristina",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Empire of Storms,"Maas, Sarah J.",North Carolina,Pender County Schools,Feb-23,Banned from Libraries,Administration
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Forever...,"Blume, Judy",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Gender Queer: A Memoir,"Kobabe, Maia",North Carolina,Alamance-Burlington School District,Sep-22,Banned from Libraries and Classrooms,Informal Challenge
Go Ask Alice,"Sparks, Beatrice",North Carolina,Pender County Schools,Feb-23,Banned from Libraries,Administration
Homegoing,"Gyasi, Yaa",North Carolina,Cumberland County Schools,Apr-23,Banned from Libraries,Administration
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Identical,"Hopkins, Ellen",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Last Night at the Telegraph Club,"Lo, Malinda",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Lawn Boy,"Evison, Jonathan",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)","Moen, Erika",North Carolina,Charlotte-Mecklenburg Schools,Feb-23,Banned Pending Investigation,Informal Challenge
Looking for Alaska,"Green, John",North Carolina,Catawba County Schools,May-23,Banned from Libraries,Formal Challenge
Looking for Alaska,"Green, John",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Looking for Alaska,"Green, John",North Carolina,Wilkes County Schools,Jan-23,Banned from Libraries and Classrooms,Administration
Me and Earl and the Dying Girl,"Andrews, Jesse",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Melissa (George),"Gino, Alex",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",North Carolina,Catawba County Schools,May-23,Banned from Libraries,Formal Challenge
None of the Above,"Gregorio, I. W.",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Out of Darkness,"Pérez, Ashley Hope",North Carolina,Catawba County Schools,May-23,Banned from Libraries,Formal Challenge
Out of Darkness,"Pérez, Ashley Hope",North Carolina,Cumberland County Schools,Apr-23,Banned from Libraries,Administration
Out of Darkness,"Pérez, Ashley Hope",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Push,Sapphire,North Carolina,Cumberland County Schools,Apr-23,Banned from Libraries and Classrooms,Administration
Rethinking Normal: A Memoir in Transition,"Hill, Katie Rain",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU","Silverberg, Cory",North Carolina,Cumberland County Schools,Apr-23,Banned from Libraries and Classrooms,Administration
"Sex Plus: Learning, Loving, and Enjoying Your Body","Green, Laci",North Carolina,Charlotte-Mecklenburg Schools,Feb-23,Banned Pending Investigation,Informal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Sold,"McCormick, Patricia",North Carolina,Pender County Schools,Feb-23,Banned from Libraries,Administration
Speak,"Anderson, Laurie Halse",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Speak: The Graphic Novel,"Anderson, Laurie Halse",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",North Carolina,Pender County Schools,Feb-23,Banned from Libraries,Administration
The Art of Racing in the Rain,"Stein, Garth",North Carolina,Pender County Schools,Feb-23,Banned from Libraries,Administration
The Black Flamingo,"Atta, Dean",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
The Bluest Eye,"Morrison, Toni",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
The Perks of Being a Wallflower,"Chbosky, Stephen",North Carolina,Catawba County Schools,May-23,Banned from Libraries,Formal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
Thirteen Reasons Why,"Asher, Jay",North Carolina,Pender County Schools,Feb-23,Banned from Libraries,Administration
This One Summer,"Tamaki, Mariko",North Carolina,Cumberland County Schools,Apr-23,Banned from Libraries,Administration
This One Summer,"Tamaki, Mariko",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
What Girls Are Made Of,"Arnold, Elana K.",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
When I Was the Greatest,"Reynolds, Jason",North Carolina,Pender County Schools,Feb-23,Banned Pending Investigation,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Allegedly,"Jackson, Tiffany D.",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Crank,"Hopkins, Ellen",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Damsel,"Arnold, Elana K.",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Eleanor & Park,"Rowell, Rainbow",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Empire of Storms,"Maas, Sarah J.",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Fallout,"Hopkins, Ellen",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Identical,"Hopkins, Ellen",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Impulse,"Hopkins, Ellen",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Living Dead Girl,"Scott, Elizabeth",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Looking for Alaska,"Green, John",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
People Kill People,"Hopkins, Ellen",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Scars,"Rainfield, Cheryl",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Sold,"McCormick, Patricia",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
The Hate U Give,"Thomas, Angie",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
The Infinite Moment of Us,"Myracle, Lauren",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
The Truth About Alice: A Novel,"Mathieu, Jennifer",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
The Upside of Unrequited,"Albertalli, Becky",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Thirteen Reasons Why,"Asher, Jay",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Twisted,"Anderson, Laurie Halse",North Dakota,Williston Basin School District #7,Sep-22,Banned Pending Investigation,Informal Challenge
Flamer,"Curato, Mike",Oklahoma,Tulsa Public Schools,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Gender Queer: A Memoir,"Kobabe, Maia",Oklahoma,Tulsa Public Schools,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Allegedly,"Jackson, Tiffany D.",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Beloved,"Morrison, Toni",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Breathless,"Niven, Jennifer",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Crank,"Hopkins, Ellen",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Eleanor & Park,"Rowell, Rainbow",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Empire of Storms,"Maas, Sarah J.",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Fade,"McMann, Lisa",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Gender Queer: A Memoir,"Kobabe, Maia",Oregon,Canby Public School District,Oct-22,Banned Pending Investigation,Formal Challenge
"Heartstopper, Vol. 1","Oseman, Alice",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
"Heartstopper, Vol. 2","Oseman, Alice",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Homegoing,"Gyasi, Yaa",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Impulse,"Hopkins, Ellen",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Lolita,"Nabokov, Vladimir",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Looking for Alaska,"Green, John",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",Oregon,West Linn-Wilsonville School District,Nov-22,Banned from Libraries,Informal Challenge
Milk and Honey,"Kaur, Rupi",Oregon,Canby Public School District,Oct-22,Banned Pending Investigation,Formal Challenge
Monday's Not Coming,"Jackson, Tiffany D.",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
My Friend Dahmer,"Backderf, Derf",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
None of the Above,"Gregorio, I. W.",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Out of Darkness,"Pérez, Ashley Hope",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Perfect,"Hopkins, Ellen",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Sold,"McCormick, Patricia",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
The Art of Racing in the Rain,"Stein, Garth",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
The Bluest Eye,"Morrison, Toni",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
The Glass Castle,"Walls, Jeannette",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
The Nowhere Girls,"Reed, Amy",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
The Truth About Alice: A Novel,"Mathieu, Jennifer",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
Water for Elephants,"Gruen, Sara",Oregon,Canby Public School District,Mar-23,Banned Pending Investigation,Formal Challenge
1984,"Orwell, George",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
1984: The Graphic Novel,"Orwell, George",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
A Bad Boy Can Be Good for a Girl,"Stone, Tanya Lee",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
A Clash of Kings,"Martin, George R. R.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
A Court of Mist and Fury,"Maas, Sarah J.",Pennsylvania,Central York School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
A Court of Thorns and Roses,"Maas, Sarah J.",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
A Court of Wings and Ruin,"Maas, Sarah J.",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
A Feast for Crows,"Martin, George R. R.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
A Storm of Swords,"Martin, George R. R.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
A Thousand Splendid Suns,"Hosseini, Khaled",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Alice in the Country of Hearts,QuinRose,Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
All the Bright Places,"Niven, Jennifer",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
